亜,ア アシア,つぐ,Asia; rank next; come after; -ous
鼓,コ,つづみ,drum; beat; rouse; muster
伍,ゴ,いつつ,5; 5-man squad; file; line
呉,ゴ,くれる くれ,give; do something for
吾,ゴ,われ わが- あ-,I; my; our; ones own
娯,ゴ,,recreation; pleasure
悟,ゴ,さとる,enlightenment; perceive; discern; realize; understand
碁,ゴ,,Go
護,ゴ,まもる,safeguard; protect
鯉,リ,こい,carp
侯,コウ,,marquis; lord; daimyo
公,コウ ク,おおやけ,public; prince; official; governmental
功,コウ ク,いさお,achievement; merits; success; honor; credit
后,コウ ゴ,きさき,empress; queen; after; behind; back; later
坑,コウ,,pit; hole
孔,コウ,あな,cavity; hole; slit; very; great; exceedingly
孝,コウ キョウ,,filial piety; childs respect
宏,コウ,ひろい,wide; large
巧,コウ,たくみ たくむ うまい,adroit; skilled; ingenuity
康,コウ,,ease; peace
弘,コウ グ,ひろい,vast; broad; wide
恒,コウ,つね つねに,constancy; always
慌,コウ,あわてる あわただしい,disconcerted; be confused; lose ones head
抗,コウ,,confront; resist; defy; oppose
拘,コウ,かかわる,arrest; seize; concerned; adhere to; despite
控,コウ,ひかえる ひかえ,withdraw; draw in; hold back; refrain from; be moderate
攻,コウ,せめる,aggression; attack
昂,コウ ゴウ,あがる たかい たかぶる,rise
晃,コウ,あきらか,clear
江,コウ,え,creek; inlet; bay
洪,コウ,,deluge; flood; vast
浩,コウ,おおきい ひろい,wide expanse; abundance; vigorous
溝,コウ,みぞ,gutter; ditch; sewer; drain; 10**32
甲,コウ カン カ,きのえ,armor; high (voice); A grade; 1st class; former; instep; carapace
皇,コウ オウ,,emperor
稿,コウ,わら したがき,draft; copy; manuscript; straw
紘,コウ,おおづな つな つなぐ,large
絞,コウ,しぼる しめる しまる,strangle; constrict; wring
綱,コウ,つな,hawser; class (genus); rope; cord; cable
衡,コウ,,equilibrium; measuring rod; scale
貢,コウ ク,みつぐ,tribute; support; finance
購,コウ,,subscription; buy
酵,コウ,,fermentation
鋼,コウ,はがね,steel
項,コウ,うなじ,paragraph; nape of neck; clause; item; term (expression)
剛,ゴウ,,sturdy; strength
拷,ゴウ,,torture; beat
豪,ゴウ,えらい,overpowering; great; powerful; excelling; Australia
克,コク,かつ,overcome; kindly; skillfully
穀,コク,,cereals; grain
酷,コク,ひどい,cruel; severe; atrocious; unjust
獄,ゴク,,prison; jail
頃,ケイ キョウ,ころ ごろ しばらく,time; about; toward
墾,コン,,ground-breaking; open up farmland
